Source,Model,Raw_Text,Year,Price,Naval_Price
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 白 2017/10 1798 手自排 1 50,000 汽油 197,000km C++",2017/10,50000,57499
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 黑 2017/10 1798 手自排 2 59,000 汽油 108,631km B++",2017/10,59000,67850
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 灰 2018/01 1798 手自排 2 45,000 汽油 120,618km A+",2018/01,45000,51749
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 黑 2018/01 1798 手自排 2 91,000 汽油 55,892km A",2018/01,91000,104649
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 灰 2018/04 1798 手自排 1 68,000 汽油 239,955km B+",2018/04,68000,78200
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 銀 2018/05 1798 手自排 1 95,000 汽油 66,126km B",2018/05,95000,109249
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 黑 2018/08 1798 手自排 2 60,000 汽油 90,443km A+",2018/08,60000,69000
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 白 2019/04 1798 手自排 3 53,000 汽油 118,311km A+",2019/04,53000,60949
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 淺藍 2019/04 1798 手自排 3 56,000 汽油 87,876km A+",2019/04,56000,64399
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 白 2019/04 1798 手自排 2 80,000 汽油 173,860km A+",2019/04,80000,92000
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 黃 2019/06 1798 手自排 1 93,000 汽油 257,671km B",2019/06,93000,106949
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 白 2019/07 1798 手自排 2 60,000 汽油 179,526km B",2019/07,60000,69000
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 黑 2019/10 1798 手自排 2 98,000 汽油 170,631km A",2019/10,98000,112699
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 黑 2019/11 1798 手自排 2 84,000 汽油 104,731km A+",2019/11,84000,96599
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 銀 2019/11 1798 手自排 3 39,000 汽油 98,196km A+",2019/11,39000,44850
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 銀 2019/12 1798 手自排 2 49,000 汽油 151,418km B",2019/12,49000,56349
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 白 2019/12 1798 手自排 2 82,000 汽油 130,516km B",2019/12,82000,94299
outside_202601.pdf,TOYOTA,"TOYOTA ALTIS 白 2020/01 1798 手自排 3 53,000 汽油 70,177km B",2020/01,53000,60949
